2013-08-06	799
2013-08-07	782
2013-08-08	770
2013-08-09	772
2013-08-10	774
2013-08-11	765
2013-08-12	770
2013-08-13	767
2013-08-14	761
2013-08-15	757
2013-08-16	753
2013-08-17	745
2013-08-18	754
2013-08-19	751
2013-08-20	727
2013-08-21	731
2013-08-22	752
2013-08-23	746
2013-08-24	732
2013-08-25	728
2013-08-26	718
2013-08-27	702
2013-08-28	688
2013-08-29	666
2013-08-30	660
2013-08-31	661
2013-09-01	660
2013-09-02	663
2013-09-03	677
2013-09-04	683
2013-09-05	701
2013-09-06	654
2013-09-07	624
2013-09-08	628
2013-09-09	627
2013-09-10	599
2013-09-11	579
2013-09-12	568
2013-09-13	575
2013-09-14	570
2013-09-15	566
2013-09-16	558
2013-09-17	555
2013-09-18	549
2013-09-19	551
2013-09-20	547
2013-09-21	547
2013-09-22	549
2013-09-23	545
2013-09-24	549
2013-09-25	570
2013-09-26	575
2013-09-27	556
2013-09-28	545
2013-09-29	545
2013-09-30	532
